Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Clicks,Conversions,Conversion Type
2025-03-09,GB,Agency 3,bing,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,,13,sign-up
2025-05-15,IN,Agency 10,googleadwords_int,Holiday Promotion,443.0,39,lead
2024-06-21,IN,,googleadwords_int,Summer Sale 2024,268.0,4,lead
2024-03-30,AU,Agency 8,direct,SB_UAC_Hindi_KYC_Completed_April'24,973.0,5,purchase
2025-03-02,FR,Agency 3,email,Summer Sale 2024,,41,re-attribution
2025-06-18,BR,Agency 8,bing,New Product Launch,551.0,37,re-attribution
2024-06-22,CA,Agency 9,googleadwords_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,,27,re-attribution
2024-10-01,FR,Agency 1,facebook_int,Summer Sale 2024,,27,re-attribution
2025-12-07,MX,Agency 3,email,Summer Sale 2024,,34,purchase
2024-11-21,JP,,organic,Summer Sale 2024,267.0,10,sign-up
2025-02-11,IN,Agency 10,direct,SB_UAC_Hindi_KYC_Completed_April'24,652.0,31,lead
2024-04-08,BR,,organic,Summer Sale 2024,443.0,32,re-attribution
2025-06-01,MX,,direct,Holiday Promotion,,19,sign-up
2024-06-15,AU,Agency 9,organic,SB_UAC_Hindi_KYC_Completed_April'24,,1,lead
2025-10-26,MX,,email,New Product Launch,851.0,14,re-attribution
2025-06-16,FR,,facebook_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,276.0,17,re-attribution
2025-06-25,MX,,googleadwords_int,Holiday Promotion,576.0,49,purchase
2024-09-18,US,Agency 7,bing,New Product Launch,,33,re-attribution
2025-02-28,JP,,organic,SB_UAC_Hindi_KYC_Completed_April'24,494.0,28,purchase
2025-03-29,DE,,organic,Back to School,,7,purchase
2025-05-24,CA,Agency 4,bing,SB_UAC_Hindi_KYC_Completed_April'24,183.0,0,re-attribution
2025-04-30,GB,,googleadwords_int,SB_UAC_Hindi_KYC_NonFos_Firebase_Nov'22,268.0,26,sign-up
2024-09-20,FR,,googleadwords_int,New Product Launch,820.0,10,purchase
2024-06-11,MX,,direct,Summer Sale 2024,,9,purchase
2025-06-13,US,,organic,New Product Launch,,12,lead
