Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Clicks,Conversions,Conversion Type,Conversion Rate,Sessions
2023-12-08,GB,,snapchat_int,SB_Display_English_Awareness_Push_Nov'22,8220.0,410,sign_up,0.049878345498783457,6337
2023-11-06,IN,,organic,Retargeting_UAC_English_Sales_Q3_Nov'23,7494.0,498,re-engagement,0.06645316253002402,6322
2023-11-25,DE,,tiktok_int,SB_Search_Lookalike_New_Installs_Nov'23,,100,re-attribution,,4273
2025-03-15,IN,,googleadwords_int,Retargeting_UAC_English_KYC_Completed_Jun'22,2917.0,168,re-attribution,0.057593417895097705,2351
2024-10-21,IN,,snapchat_int,Brand_Search_Lookalike_New_Installs_Jan'22,6156.0,190,sign_up,0.030864197530864196,6128
2023-10-20,IN,,affiliate_network,Retargeting_Search_Broad_New_Installs_Feb'22,,129,install,,2540
2025-09-03,AU,,email_blast,Retargeting_Video_Geo_Targeted_KYC_Completed_Sep'24,,583,re-attribution,,7415
2025-09-25,JP,MarketPro,affiliate_network,Performance_UAC_English_Awareness_Push_Jan'22,,251,install,,3644
2025-09-07,CA,,organic,Retargeting_UAC_Geo_Targeted_Sales_Q3_May'22,2025.0,43,re-engagement,0.02123456790123457,1611
2023-12-04,IN,,direct,SB_Social_Broad_New_Installs_Dec'22,4540.0,100,re-attribution,0.022026431718061675,4539
2024-01-01,US,DigitalLeap,tiktok_int,Brand_Display_English_Awareness_Push_Oct'24,6697.0,221,sign_up,0.03299985067940869,5469
2025-06-02,IN,,organic,Performance_Display_Hindi_Sales_Q3_Feb'22,7685.0,293,purchase,0.03812621990891347,6122
2025-10-01,BR,,snapchat_int,Performance_Search_Hindi_New_Installs_Jan'23,6438.0,385,install,0.059801180490835666,5082
2025-10-06,US,,tiktok_int,Retargeting_Video_Broad_Awareness_Push_May'24,3805.0,29,install,0.007621550591327201,3405
2024-07-23,GB,,organic,Retargeting_Search_English_KYC_Completed_Sep'24,5976.0,68,purchase,0.011378848728246318,5879
2023-11-07,IN,,snapchat_int,SB_UAC_Broad_New_Installs_Aug'24,1561.0,9,install,0.005765534913516977,1435
2025-01-05,JP,,affiliate_network,Brand_Social_Lookalike_KYC_Completed_Dec'23,8849.0,542,sign_up,0.06124985874110069,6942
2024-05-16,IN,,organic,Retargeting_Video_Broad_Awareness_Push_Aug'22,5417.0,314,purchase,0.0579656636514676,4475
2023-11-06,AU,GrowthMasters,googleadwords_int,Brand_Search_Broad_Sales_Q3_Oct'24,401.0,26,install,0.06483790523690773,399
2024-12-25,GB,,snapchat_int,SB_Social_Broad_KYC_Completed_Nov'23,7129.0,222,re-engagement,0.03114041240005611,5843
2024-07-06,GB,,affiliate_network,SB_Display_English_Sales_Q3_Dec'23,3038.0,95,install,0.031270572745227126,2973
